String,Category
[235U],1
[2H]O[2H],1
[Au][P](c1ccccc1)(c1ccccc1)c1ccccc1,1
[Cd]12([O]=C(O1)C)[O]=C(O2)C,1
[cH-]1cccc1,1
[Co]1(C#[O])(C#[O])(C#[O])C(=O)[Co] (C#[O])(C#[O])(C#[O])C1=O,1
[Co]Oc1ccccc1,1
[Cr]1[N](c1ccccc1)=C(C)C=C(C)O1,1
[Cr]1N(c1ccccc1)C(C)=CC(C)=[O]1,1
[Cu+2].[O-]S(=O)(=O)[O-],1
[Cu]([n]1ccccc1)([n]1ccccc1)(Cl)Cl,1
[Fe]12345678([cH]9[cH]1[cH]2[cH]3[cH]4 9)[cH]1[cH]5[cH]6[cH]7[cH]81,1
[Gd]1[O]=C(C)C=C(C)O1,1
[Mn][n]1c[nH]cc1,1
[Mn]n1cncc1,1
[Ni](C#[O])(C#[O])(C#[O])C#[O],1
[Ni]1[NH2]CC[NH2]1,1
[Ni]=C1N(C)C=CN1C,1
[OH3+],1
[Pb](CC)(CC)(CC)CC,1
[Pd]1234(C[CH]1=[CH2]2)C[CH]3=[CH2]4,1
[Rh]123[CH]4=[CH]1CC[CH]2=[CH]3CC4,1
[Ru]12345[c]6(C(C)C)[cH]1[cH]2[c]3(C) [cH]4[cH]56,1
[Ti]123[CH2]=[CH]1[CH]2=[CH2]3,1
[Zn]([OH2])([OH2])([OH2])([OH2]) ([OH2])[OH2],1
[Zr]1234[cH]5[cH]1[cH]2[c]13[c]45cccc1,1
C#N,1
C*1*C*C*C*C*C1,1
c1(=O)[nH]cccc1,1
c1(=O)cccc1,1
C1(=O)NC(=O)NC=C1,1
c12ccccc1C(=C)c1ccccc12,1
c12ccccc1C(=O)c1ccccc1C2(=O),1
C1=CC=CC1,1
c1c(N(=O)=O)cccc1,1
c1cc2ccccc2cc1,1
c1ccc[nH]1,1
c1ccccc1,1
C1CCCCC1,1
c1ccccc1,1
c1ccccn=O,1
c1ccccn{+1}1CC(=O)O,1
c1cccs1,1
C1OC1CC,1
C=1CCCCC1,1
CC,1
CC(=O)C,1
"CC(=O)NCCc1c[nH]c2ccc(OC)cc12""",1
CC(=O)O,1
CC(=O)OCCC(/C)=C\C[C@H](C(C)=C)CCC=C,1
CC(C)(C)CC,1
CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2,1
CC(C)CC(=O),1
CC(CC)C,1
CC(O)C,1
CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)/C=C(\C)/C(=O)OC)C/C=C\C=C,1
CC[C@H](O1)CC[C@@]12CCCO2,1
CCC(=O)O{-1},1
CCC(=O)O{-},1
"CCc1c[n+]2ccc3c4ccccc4[nH]c3c2cc1""",1
"CCC[C@@H](O)CC/C=C/C=C/C#CC#C/C=C/CO""",1
CCN(CC)CC,1
CN1CCC[C@H]1c2cccnc2,1
CN=C=O,1
COCc1cc(C=O)ccc1O,1
F/C=C/F,1
F/C=C\F,1
N#N,1
N[C@@H](C)C(=O)O,1
N[C@H](C)C(=O)O,1
O1C=C[C@H]([C@H]1O2)c3c2cc(OC)c4c3OC(=O)C5=C4CCC(=O)5,1
O=C(OCC)C,1
O=C1C=CC(=O)C=C1,1
O=C=O,1
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1,1
OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H]2[C@@H]1c3c(O)c(OC)c(O)cc3C(=O)O2,1
OCCc1c(C)[n+](cs1)Cc2cnc(C)nc2N,1
",(^I(EUeD,y@Y3$#nN;:*iU{!Z\vox-Y/Ll]18$jY",0
KrCk!^ZEjXMa{;4a2enoS|>orjh;vp/OtfDlC/[d,0
"=1i#=bhEZx/1z3Yr~OB:zMRpyPY!V~dD}xrO0-7""7!I)H6l",0
YvL,0
/{VYMa6l!LrXtZxlOilZ,0
s:=u'+uO7Rk%9A2ND_z5QM.,0
"DZd(kz:ZG4fJ@\q.`~sg$<#xS[@DMZ'JA-Fuwx,@=RgjU^R,2Q2<xYId=",0
daz<rX+sKG3Y_<F~6B8\.b^m5[y&4|'Wq,0
B]kD/8)'3<B`^Jlz8&Q|S,0
"ey+A[AN8-&r,Nme4.BX=",0
"N){BMtih3$&sMj/byS}$]w""#(ys}X5m7fS?4LNWL,Q^12+Oj}f>xT",0
Mh)~7DS^<1.n`Q%{RPo]lKuaslU\Y&qZ;A^J%PdZ@pPa?/EljYE5Q5>T35k,0
];GWlkRJhTEM$*y.G{\v0$*K&hM7Nq^OZ*g~-2-Vu7,0
"C8J""1Xhp-!=Rj(_>%y+EQ_\k|.+B_d}|,Ab",0
sFh9}XIr2219;,0
hgl@?!Qykl#zn9=Vqgkxn@_&5](p)I`5#hJu;d/KfTtm;]UrYZ-W-,0
*kV@-bcA;:rTus+,0
"D1<+f:/A+j8eR""HrY+hy/?P)RxgoDb?KZGsflijb""%%6P.U'",0
7tha>a$#dWR%'HygN5iAlw8O_Rmih]Z'b9WenaMBv.<,0
"lIdb+#Ggs8CG(WL6b%3`F>H_$vHKV""b%:ddw",0
2`,0
"WNCJ,>JJA<{~p!.-#",0
"U9Pao$NF.)jwNC/dZZIHG;e#9'""O58mYwXz\<CU%JQ;08vtq]mdbB;`Q&}`x\MmF3`M=",0
"%wY&a,_,)NG6tfMF'^k}g~TdjVER;KTeZ*$LF2+C~(G0lYM}RVZT4D^_W|6z}YuK-1",0
"'wL^Lr\nJ%ym~S~'Z/&NB%yNZQWR4epA:)ylZG'zv${mT&Ojz&V,QQ[WJ\",0
sctuEA?Y7<w,0
"mEs#s%M|[}nUN*a.#W5@dci@n);7S@`@nLp,l@dfr:6k&lw\J@PNf",0
"eqN#I6{<0j^V$QBSd7,!Be>,}1Xc;lw9!EpE7XA?='k8#3@0/Cl'B|AA",0
sl#:gs).G)r=P\QhIFYy,0
/eG,0
VSi{d,0
"}GoXp&""dBi'%&Yn$iSS\F4jb",0
dkqQB(tfL;%~t$iCY[rt$y_KolAsE*u\t!_B=##\7fK1x7rApdS'P)xu|OVE[^auYZ<p|#,0
IQ%dkxR+aRedZxtdIK]W&EaE8Cv^NaS,0
"""Nr&.<R?}D}A&!eIpbT.a06/>I3KGWW5gH!",0
.$}|{st$]2VcZabY>'rYbag(B7sA*4nlh(t\{<1r[#%m1+I?2.&YFp!,0
IONI&AfxE}_%;w1EOo}xthd;:Z[,0
"h^j<'.bX6J*,?[;\F~<P]hWIE>x*lBN$",0
"-H{|/u)rRY#uM)t@J?$LeU'c5pV!y~AY]1usl(ZY""K|",0
y9J\R8?%pwjjiG>Y3pv){Ss$?j.kGS&w:m1@]+znLQ'r822,0
xZD#Hf6_Q'g5aoy[,0
")m-,WX0O3I{)\OxM<=&N=t]",0
"-.\!jI|ZVh?q`""c}S>/Lx@PFx51QU<f:zR~&o}#",0
H?M2DC;@AB4{O4c3:@XV{QB/#|G|uD|c+dO[?3wy3MlfD.FrazU},0
!-<&&i<d2n%#:H_uxx:jrKTc$*raa2vKGT.q.Zp\^wDj=xLb<D2ZhDSTxPuk\v0R(39_#,0
"y8+G-H0yWYR}n<iyy0MVcgIC+0%MQ""3D%9mUW,*#L^:.)",0
@ez]QU6TbZ4,0
/Y>a-E:\In?u8Eu4p,0
o|=sJK}z%BU,0
0&UIAA_srGi%:*,0
"r8$`Kl5]';XrnEe#DItPJRGH`OoKM.VsfP@%!CqAJK`h;JK""4-wqs",0
"""Pl*T](ZxIt""Je4tq=wSVmk4a)a8C7Q`}CVAE&^stSZ{>}H*#xZ$\H&hAER`0?!pMH=,M",0
"L,h(&9[WJl~1Y_z",0
"nqqSM%w3[{\%TYnO7$UO>E""Y+aJ`iH\8:^_Q",0
%g|s=2)MH#8=gxF-'-X86keJB&Cop,0
q][7jDSZ80sW<c,0
".yc2kh(Gc2in3s7|1""CfLJzcer{|ng]i2bp|2hja>O6g\$PD:Edi/|B$;D9dWK|MJ",0
1#wi&=$xb\b|7,0
k3CXOzm-k~@I{d'Nrk/9X?oV&~cUvR}!7qTfK~2I~-Ns{<E%{bk\6pfp^[f{g!jpA|c,0
GCP8@>}W@D1N.$7.\0D%5bO-Dl$f9o[,0
m`LSbKxa~Nx%okd?U^T8G`4744}P&O@G@}:>?>jzCmzN,0
n!/GNS}py8:6i`E=N7i[%|O#x}JQDj;POy5C#>=3/oy6|+},0
"H}/>5P*[}mxt<_-jpl-S_^""t=?gU/1uUz~%FkBDAvj&=E",0
"%R;;\';xK1mz49Koae}fnT`_Djb1X\DOE_%7NSOx*AJ^:=K3bQ=(R`s1=F""",0
g]Z)IK6ek[7VYQK2>rmo.WdGlCb,0
".3Q4JTY,8-OgMGMZiYc",0
"Rg#j*JAi5&y`<i]Z-2MRpbrl!(-&JAE-{s>V7Yq05QkPyvNT,Bksdn&@O",0
":iP&y(k,Vj2}gS(>9iHrmPRS#7$C&mKg^9We/qjOd#VAzD2+4h(wq6sUo0Pr/nm85EjS!",0
^-WTMt]5JElkFC.l}8QI&$]wr]-K'(U^rnhJj?C-b.\tCH}SD5%L+Z9$,0
1j],0
"_""dCg,9K+AwkKf9T&4e(bkJ(S44l-=rn:3+f2%-5{0:UlrG&#P",0
"_6hgmD47nf\Z>Y1`lXe.'y89tB/EjLa""GFB,5",0
=0D9Z{?GZ4uCn&*]'A,0
"%q`2R-fuC^.5X&x""S6",0
W-=T2cvd<Kb3^*B\hBC0(r{(MDei&Gfd?&BzFL),0
WPB,0
ZR:0x]mu(boK)MGE(`8>4^(E<&7.v}!~m#Sb_CBLTtxwMMpc:k-XZ,0
"KH,qF+f{5+[=6()T]F=SGNwXB57A)R\1N]&YP9etqn:m`w7P'NAJ1-rOL-`XCrd-'S.Nk",0
"SS`|glH;cV$u}.""hR0zYD{`F{!?<DvW&W4g|69:=`W~SejAQ$@mFf.5|eZMK",0
"8G^LIO>k@H~Q7VBQ;0KG'Z#_;1lhsW,Vtf2BSE)",0
I?gMR]VXD+QTjs?dW<D_<kKUiL;xlx{4g3zKRIG~j)!U^Cr,0
"h@*ZTna+6,IniN~Gm8Fb!0T`rE?{weT=2<rQbyXI!j>66WJ4""+9YV)vn9VB~",0
"|I`thDkMoTmAn'RU4""Ce34N_$",0
oHDJiSN=3rFO/BL\r/<9+^Wxl\gRq]dy9Sq5XIA,0
Z|-2p$e\CMkcv-D`EFrR*t~&LA6W$|sJZ,0
"}v%%xy/)K8,6yr5RM4TO)mVS+fADp;SA^'t?"",d6rI';PSQU<j$O-=,{]vEXSy,=_9",0
"kkO5bk?u||H?[?QXv5,WlXJ3Ez&'zq1auki@?}3=mNhR$",0
6ur6,0
dVZDf!fIs}k#}dB1oe9{o!-3|R6/4?69{3L,0
ja,0
"}@>X)8#)sZlH>%u[28,0]""d3=,_PBGz%*NMYL[4S$(6|eNxcb+EY{sVh}g)0",0
7DvsHq-5~w)mXRtC-lRHg4^'(q.Lk;j79=y}C,0
"ZA>M&[}nGe_0#""mVB~"";%NRvY>+Q2>p=%.Bw%i)SaPT<Aq",0
Z(j%d}kwq8&,0
"D!:E}Gu1;,s2*o0Rw:/s!^.y~[-rA'9^T""KIz?5bUI",0
Q^44WuAR0rfo(JpA{_Ax+75=Bda.R4dW[3O\LnMGN#7)6rw,0
a#A)7BG,0
hQ/`X4HGvF{_^}dQ3E*M>,0
"!jZIBgk&u`*sm|<acb`f2a*""1c\'YFs72#yJ(R_9",0
"Pv!^BD`)""E!?1mO.F<>aA^s@",0
madly,0
suspend,0
soap,0
receptive,0
lush,0
tacit,0
subtract,0
curl,0
sky,0
freezing,0
porter,0
rose,0
clover,0
fine,0
rotten,0
silky,0
cherry,0
border,0
grouchy,0
argument,0
alluring,0
limping,0
vague,0
bump,0
vein,0
angle,0
trousers,0
practise,0
attempt,0
hair,0
enormous,0
fence,0
separate,0
hour,0
salty,0
intelligent,0
consist,0
roasted,0
agreeable,0
resolute,0
organic,0
cross,0
functional,0
torpid,0
grey,0
gruesome,0
letters,0
slope,0
hard,0
taste,0
stretch,0
halting,0
relieved,0
aloof,0
tickle,0
beds,0
pastoral,0
faulty,0
parched,0
stuff,0
damaging,0
acoustics,0
vanish,0
drink,0
horses,0
mean,0
spiffy,0
toes,0
festive,0
dazzling,0
turn,0
uneven,0
malicious,0
nod,0
zippy,0
believe,0
grade,0
suppose,0
wrap,0
board,0
relax,0
run,0
dock,0
wood,0
arrange,0
flowery,0
humdrum,0
ruthless,0
mist,0
handle,0
late,0
laughable,0
winter,0
faint,0
zipper,0
smile,0
penitent,0
crime,0
minister,0
jewel,0
3,0
611634329,0
78838,0
4825,0
556769,0
5032601412,0
35300,0
5492594,0
03,0
9411,0
7270008,0
31,0
487,0
98,0
435702,0
622687,0
4172646077,0
11803751,0
189,0
2057782594,0
54627813,0
69825030,0
02385596,0
4,0
67521,0
3744,0
909,0
2,0
41988800,0
219533753,0
895,0
3372547027,0
556017004,0
48930,0
628554021,0
5212,0
045259,0
7,0
7,0
337,0
82116,0
6861,0
92,0
2484654162,0
75706,0
6584161,0
66286584,0
77,0
2473479038,0
49869851,0
19385433,0
362,0
885165,0
2,0
8,0
653831474,0
779245,0
370518,0
7340048334,0
29290,0
9889510534,0
156075,0
9743674905,0
344580049,0
933278,0
983,0
313634,0
83372,0
120033331,0
27621420,0
963741,0
8754855,0
745746,0
0829,0
630196726,0
661,0
2170142137,0
48425707,0
438,0
2360,0
68579659,0
60562,0
57149,0
0548497870,0
755695,0
166940,0
8140480,0
95795695,0
03,0
4822,0
29,0
353011638,0
33454498,0
24,0
10,0
289,0
2,0
6,0
42995574,0
9826,0
(ABC),0
(deficiency),0
(refrigerator),0
(locate),0
(dictionary),0
(planet),0
(scatter),0
(hardware),0
(feel),0
(hang),0
(tribute),0
(compound),0
(promotion),0
(treatment),0
[miner],0
[mutation],0
[theft],0
[fruit],0
[orthodox],0
[island],0
[spontaneous],0
[cunning],0
[marsh],0
[plane],0
[pollution],0
[grind],0
cool,0
